,Living_Area,marker_graph,face_color_marker,edge_color_graph,Living_Area_per_Capita,"Climate change, short term-combined-m2",Freshwater ecotoxicity-combined-m2,Terrestrial acidification-combined-m2,"Land occupation, biodiversity-combined-m2",Human toxicity non-cancer-combined-m2,Particulate matter formation-combined-m2,"Climate change, short term-combined-cap",Freshwater ecotoxicity-combined-cap,Terrestrial acidification-combined-cap,"Land occupation, biodiversity-combined-cap",Human toxicity non-cancer-combined-cap,Particulate matter formation-combined-cap
17312,287.0,|,limegreen,none,36.94436090225563,21.114320793294038,15003.471017541337,0.1537116917087529,3.208265839413668,1.301431915128971e-05,0.0177617380307682,775.0612097577568,550003.8041058141,5.633782701436118,117.76977468749072,0.0004768084711121,0.651060298093659
17313,110.0,x,forestgreen,none,38.0140350877193,6.541747698337368,8112.02335888348,0.0859072273768431,1.5357094367913282,7.800080790955074e-06,0.0100399113979866,248.11774179849664,307668.1627776913,3.258191333998917,58.25754498951591,0.0002958246887069,0.3807910864517801
17314,136.0,_,gold,none,111.3125,29.08790171675,20304.055333859877,0.1993782300730195,5.822494114224549,1.5174614786742606e-05,0.023711102360895,3231.4667213666,2251532.9015380605,22.09974918375972,647.1752961227118,0.0016801611201817,2.6288899322722115
17315,1421.0,x,orangered,none,61.07945736434108,11.639269960863489,12835.89921836851,0.1256490104168226,4.975421839246764,9.742754928152817e-06,0.0165404724956422,710.6059961728171,783629.0805691815,7.670600298919583,303.80955687557685,0.0005947308935443,1.0098082240956676
17316,1315.0,x,orangered,none,89.225,11.15669407072,12265.318865033876,0.1197857136005785,4.823048848553538,9.239413884431131e-06,0.0158228926159982,994.3913216982417,1092949.135270433,10.672133133969854,430.23216256314254,0.0008228488081624,1.4100776882918464
17317,189.0,x,orangered,none,61.05555555555555,12.76587508373354,14236.32410810045,0.1405014959965336,5.23513707135509,1.1094845334796404e-05,0.0182723314464383,779.3435592468777,869113.6108710961,8.57748304790257,319.5988282260618,0.0006773305908439,1.115507601058155
17318,1794.0,x,orange,none,55.990196078431374,10.76010551830706,12302.825979582847,0.1235909939913873,3.986654835691561,1.0136909281965265e-05,0.0156525870828586,602.435643471378,688831.5936478118,6.919978853150879,223.1731173863809,0.0005676018858253,0.8763738340370172
17319,95.0,x,limegreen,none,95.08666666666666,9.0794080258768,11171.551669880517,0.1177460471494166,2.2539927690214268,1.0599924023326568e-05,0.0138622953145074,863.1387838210367,1062028.747473426,11.193577514996566,214.2781408608122,0.0010076854012185,1.3178258683165311
17320,349.0,x,orange,none,117.48873873873872,10.037800471501082,11199.55742584734,0.1105706520529223,4.108600262327352,8.73822369041838e-06,0.0143721153045835,1177.4708231850168,1313786.089508553,12.970971756667891,481.90204719003214,0.0010251212691439,1.685932426617433
17321,2192.0,x,gold,none,22.393589743589743,7.820637246552691,8930.227172158637,0.0896291292397028,2.9139841724623974,7.3374289605323825e-06,0.0113669013747285,175.10023595772498,199930.1277565194,2.006526090846223,65.26133125069929,0.0001642470488466,0.2544883513166266
17322,203.0,x,gold,none,40.2875,9.600265608594375,11185.147168855883,0.1138187662560094,3.2641980972176565,9.58393898673176e-06,0.0141380215650911,386.750977878096,450581.8615699064,4.58495403355055,131.52323388173525,0.0003860498181206,0.5695426046665755
17323,1331.0,x,gold,none,28.813888888888886,9.081427641835834,10547.388289116032,0.1071010190829349,3.134505200512379,8.979852180394854e-06,0.0133463927194486,261.6353550444179,303874.53043259087,3.085657732510126,90.29795611932182,0.0002587217675912,0.3845128216815378
17324,72.0,x,orangered,none,79.39285714285714,14.304517562559882,16107.033069777057,0.160072545654943,5.648677365379888,1.2832963273300128e-05,0.0206028894569177,1134.5512148901512,1277429.061464871,12.694539102318116,448.1427361063726,0.0010176102881988,1.6340292495579425
17325,165.0,x,orange,none,57.947500000000005,11.832926378948876,13523.090076020697,0.1358049561015008,4.393086102143048,1.1131099089806722e-05,0.0172079289607412,685.6527497486021,783575.7263762195,7.868931489835825,254.57288712444543,0.0006449529103159,0.9970939724985326
17326,125.0,x,orange,none,24.57809523809524,12.011998298538144,13758.706356050829,0.1383874710642791,4.416081552089788,1.1379724122431976e-05,0.0174939889824869,295.0647152342961,337924.69241464644,3.39858177635769,108.54258715548544,0.0002794131690482,0.4296867735654701
17327,143.0,s,none,orangered,141.1875,77.26435672326667,13330.847960811683,0.2016804979151822,1.3479459634373274,1.1619356827126793e-05,0.0213223074175829,10897.617795206175,1878941.0774677424,28.432520376030592,189.9664679377736,0.0016374677492332,3.0058762529834264
17328,155.0,s,none,rebeccapurple,75.25308641975309,124.1531791871963,15418.020137719284,0.2626264093616968,1.454964171623095,1.2298871681418993e-05,0.0272951529340322,9302.956170103702,1155536.056142049,19.681431010246005,109.0512380701296,0.000921829289075,2.0455439818441383
17329,130.0,x,orange,none,32.59512195121951,7.988643327377318,8473.242342804391,0.0805056685131683,3.887741165417778,5.815201633588431e-06,0.0110737349514301,260.3545917428374,276155.3154422604,2.62385242993723,126.69344404907748,0.0001895398926619,0.3609056375094037
17330,242.0,|,limegreen,none,115.44117647058825,22.45415595603765,15889.029633152202,0.1626903072398661,3.411962464078565,1.3757697166615994e-05,0.0188049618510468,2582.6172873487576,1827375.7785717647,18.71059582288207,392.4350794014606,0.0015822024432602,2.1627224773249614
17331,157.0,x,orange,none,79.41666666666667,11.718731069460476,13353.887611066111,0.1338353958056409,4.405031336120265,1.0923490645077564e-05,0.0170098136663378,930.5761061791104,1060365.176700161,10.626793675281675,349.88122394608587,0.0008672776330008,1.3506895538144614
17332,143.0,x,orange,none,47.84420289855072,13.597957630179565,15764.431724466656,0.1598799178613345,4.733522071207941,1.3371913573196212e-05,0.0199603919371504,650.3992778988685,754055.445452414,7.647711626944084,226.36214524156463,0.0006396710252048,0.9547454421162056
17333,658.0,x,orange,none,27.24512195121951,12.681094425108416,14636.575675980568,0.1479943285455268,4.505518100843768,1.2302222974226094e-05,0.0185607696362639,345.33322244182204,398582.0247301072,4.030147803877171,122.69923838783356,0.0003350076703275,0.5054467239148569
17334,87.0,_,gold,none,81.84210526315789,27.760197306147365,18717.48210908066,0.1822791930287521,5.6106976318181525,1.3577103495568378e-05,0.0217855314885462,2262.2359529921478,1521541.6377202126,14.80842820610668,457.5369388044824,0.0011012357889086,1.770510839291778
17335,175.0,v,none,gold,43.63333333333333,32.292470290513336,7913.304146295195,0.0839655454436727,0.806865308653017,6.882021720191064e-06,0.0093216546736236,1408.9190202074108,344781.4174323534,3.658204367797644,35.146681766901835,0.0002997509456712,0.4061190608659761
17336,3689.0,x,gold,none,82.02777777777779,8.881375172483125,10292.682428710625,0.1043609465912564,3.096856601340744,8.724145630820384e-06,0.0130338699123685,728.3888403171278,844056.5657270682,8.557634763166881,254.0921329463896,0.0007152922368275,1.0688831519345166
17337,151.0,_,orange,none,145.91666666666666,36.45927766726667,23774.22234642121,0.2295960336000914,7.435040170287842,1.67226665481454e-05,0.0275788096579681,5305.1871635198,3455462.190189298,33.360942733618415,1082.1931335759075,0.0024279335043387,4.007976394579951
17338,106.0,x,orange,none,34.35428571428572,11.467293897072857,13015.808485310305,0.1300858390734364,4.38292060653929,1.0555629385214284e-05,0.0166021509698516,393.9119293580808,447081.6183594807,4.468171476922243,150.5898568104688,0.0003625353892808,0.5702797143268441
17339,97.0,x,gold,none,97.13636363636364,13.987111992258638,16769.896677173303,0.1738948076797092,4.09056470531931,1.5189738056109826e-05,0.0209907054385797,1358.6225860634213,1628937.1026977298,16.891280216473838,397.315863296396,0.0014754689289806,2.038918642818254
17340,96.0,+,gold,none,124.54545454545456,7.75857230626,8500.187646830293,0.0821634314104985,7.114322798880218,6.128241308615456e-06,0.0598677412201674,965.8916706482204,1058291.8316949117,10.230099529444097,885.4095414362862,0.0007631276982174,7.45092387062467
17341,98.0,|,forestgreen,none,51.20641025641026,18.03304648164513,14690.872047431085,0.1531619317395423,2.7369084750129486,1.3442326808121065e-05,0.0175366631588415,921.8922235284324,751691.255671611,7.837684430295431,139.9161589025603,0.0006880207522565,0.8973469094742049
17342,159.0,v,none,gold,40.45897435897435,36.18588190032769,10839.071439595557,0.115678278999001,1.1396419917375762,9.831283769865336e-06,0.0128674722042989,1463.572518214152,437733.8035387406,4.671461123877032,46.01474581882332,0.0003969231753709,0.5196230561380253
17343,177.0,v,none,orange,43.896428571428565,44.169556389017146,8680.696349658172,0.0913816427014723,0.847659128438293,7.109424768144658e-06,0.0101176405117708,1938.193803129896,379939.8943339077,3.999212795518848,37.07939492394893,0.0003109181448337,0.4427712955636808
17344,205.0,x,gold,none,104.54166666666669,8.664603933255833,9967.136629629738,0.1005480294357821,3.1256505604295577,8.318771786337329e-06,0.0126541889370286,905.4359106344376,1041479.411709398,10.505919712463376,326.7217302691285,0.0008691187218986,1.3222834980562843
17345,136.0,x,orange,none,68.65833333333333,7.940299099737625,8431.786528781218,0.0801857214308833,3.8504222374292167,5.8054374549752806e-06,0.0110148546309058,545.0694639600302,578828.1693657704,5.5047678387425485,264.28773913146085,0.0003985718185276,0.7561419124924887
17346,202.0,v,none,gold,50.27542372881356,37.52618127123933,12636.003609780126,0.1352427338452713,1.3485255349099,1.1695517569362996e-05,0.0150581994342118,1885.50597423673,634610.5506659406,6.792145326251735,67.7225588077257,0.000587334276196,0.7562485579312533
17347,275.0,+,rebeccapurple,none,122.34722222222224,17.092290701076667,17547.197832458547,0.1604574075804817,20.096898942295667,1.028389029124939e-05,0.1673047085727324,2084.52856863251,2137984.4016613048,19.533670753416384,2458.5552675934305,0.0012486737843018,20.46480459477649
17348,123.0,v,none,orangered,60.40625,63.03842832639,13350.055439480178,0.140942152971936,1.3245571478265898,1.1179606515309251e-05,0.0156203107605986,3802.6469952836665,804787.8135535009,8.49627833756696,79.83833341819813,0.0006738212780098,0.9416161964175764
17349,136.0,_,gold,none,109.77083333333331,28.008746932266664,19474.63377519851,0.1910582626989811,5.612709188823086,1.4507211807611713e-05,0.0227341048205494,3065.721963338033,2128518.8552407566,20.874939308701453,614.597103242526,0.001583656031243,2.4844266342604424
17350,125.0,x,orange,none,31.663988095238096,11.819060672105625,13456.793618527969,0.1347867022083975,4.458786294063461,1.0987437140278574e-05,0.0171459823229256,374.2008123848536,426056.1402471024,4.2675116555618455,141.16391750984047,0.0003478797742081,0.5428581882580803
