,KOM,median_Living_Area_per_Capita,"Climate change, short term-combined-cap",Particulate matter formation-combined-cap,Energy Consumption from Regressions (kWh/m2)
45,400,64.0,1179.48878140963,1.3744612489883532,171.15523675441895
46,410,59.5,1089.0238368923333,1.009065665670719,149.3549217634683
47,420,64.0,1384.324683074775,1.224294625410135,156.2666755748486
48,430,61.75,1665.47526638688,1.1722481100289786,157.0157326381509
49,440,57.0,958.09354361126,0.9687387116664404,154.65759003145848
50,450,59.8,861.8412942743425,1.0254860021578165,154.2918887715971
51,461,48.0,543.9891628012188,0.7869860615086196,147.12470886790433
52,479,52.5,1586.73012428424,0.95237048337523,157.33002231506094
53,480,63.0,1466.145858838525,1.3037064266064111,156.12281693355212
54,482,71.5,1180.65711368055,1.4490426564593968,184.10951974068723
55,492,70.0,1497.2814933078598,1.539498284019532,185.97540639300672
56,510,64.0,1312.70908358943,1.0859683371078577,151.96861017953648
57,530,60.0,835.714373416545,1.0466707719194703,144.38848355383425
58,540,60.5,988.281285188315,1.0212957243520195,149.55968076380543
59,550,69.0,1420.98695602328,1.3564320746589225,155.43118885039604
60,561,55.5,668.2127029383676,0.9161554048208966,135.31432764815173
61,563,73.0,988.330441796945,1.2940259812312345,146.39274155859104
62,573,63.5,1061.0600962391586,1.22035070616518,152.25270674650042
63,575,63.5,1330.0407062017498,1.1882278743666403,151.69348508310824
64,580,62.4,1100.409246836095,1.0996309783900453,151.00057743284455
65,607,54.66666666666666,626.466723158,0.8984061626520579,116.85560057357095
66,615,52.5,810.8738581658499,0.8394292630641738,114.68665490772504
67,621,53.333333333333336,704.918806408,0.8787731788768509,119.17488735911203
68,630,55.75,888.3304105323675,0.9484051977571574,114.39575095254254
69,657,57.0,658.47556064676,0.9434836870137472,114.98785634804672
70,661,56.75,676.7728081971734,0.97208547049187,117.84461227687105
71,665,69.0,1043.5765105968585,1.3653506607075243,155.0370913388618
72,671,66.0,856.3313697031326,1.1947811230114405,148.12068001143612
73,706,60.0,990.21568142475,1.217745381961425,146.26487766485533
74,707,66.0,933.3367048720124,1.2682027235673772,153.05764701956488
75,710,56.0,846.14902679692,0.9869637924072192,117.04556915816524
76,727,59.5,756.1516262078131,1.012687058404346,112.95827633025408
77,730,58.0,820.69945461943,0.9819836535331676,116.85560057357095
78,740,55.0,830.98115918778,0.8958408790481445,113.32522439747098
79,741,72.25,2186.449090414835,1.7988334206596248,188.54620283672236
80,746,50.5,680.7358363845,0.8390741594665889,112.27367172723744
81,751,44.0,474.90004515473294,0.695347641895796,110.62941166524604
82,756,58.0,804.6177950892917,1.0339426624277412,117.84461227687105
83,760,65.0,930.58733057687,1.1714648363225382,147.1734712249928
84,766,62.5,1450.1598642963152,1.1229021890469535,120.6929659823753
85,773,69.25,1799.6259152429095,1.314649603935527,153.5989811213334
86,779,63.333333333333336,1300.54597978952,1.097957415598814,151.1685014807401
87,787,64.8,944.6112565216,1.1821759459040573,151.51484482952463
88,791,60.0,917.1136826544,1.0396382008383085,136.63676205273964
89,810,62.66666666666666,834.089931412175,1.1347193228768109,147.65676501443744
90,813,64.5,991.30166220384,1.1473745681220764,153.16343916973906
91,820,68.0,973.782157676525,1.2772960230779982,151.96861017953648
92,825,75.5,3239.9092156086663,1.8977287565567904,193.01763275889311
93,840,60.0,836.7160772933413,1.1058412549479986,118.05477726382232
94,846,63.875,1017.6721960464176,1.1545151857995777,145.44167366672409
95,849,65.5,1081.413780570825,1.2680544711021424,150.79548452479543
96,851,52.5,586.2243831684,0.8378831012299365,114.8359345689371
97,860,65.0,899.422941670515,1.171938669925702,151.7842229896904
